"geografie","geslacht","migratieachtergrond","huishouden","bins","opleiding_ouders","uitkomst","mean","parents_income","N","type","uitkomst_NL","subgroep","sample","sd"
"Nederland","Mannen","Nederlandse Antillen","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Nederlandse Antillen","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.714010034735623,60.0820874316355,5182,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Totaal","Totaal","wo","c00_infant_mortality",0.43327218080331,116.069428647618,25619,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Totaal","Totaal","hbo","c00_infant_mortality",0.478590847304033,90.0589268278514,35312,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.824180334597514,61.039724091948,182727,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Eenoudergezin","Totaal","wo","c00_infant_mortality",NA,NA,NA,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Eenoudergezin","Totaal","hbo","c00_infant_mortality",0.810536980749747,56.207520978833,2961,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Eenoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.82023443791571,36.9041112333726,33527,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Tweeoudergezin","Totaal","wo","c00_infant_mortality",0.415739302061899,119.39861507757,23813,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Tweeoudergezin","Totaal","hbo","c00_infant_mortality",0.433356032935059,93.181504599441,32306,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Mannen","Wel migratieachtergrond","Tweeoudergezin","Totaal","geen hbo of wo","c00_infant_mortality",0.767037007001325,66.7342149651896,147972,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Totaal","Totaal","Totaal","wo","c00_infant_mortality",0.460962258715068,126.422427927972,93717,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Totaal","Totaal","Totaal","hbo","c00_infant_mortality",0.486413856634063,98.3602887920779,170431,"parents_edu","Zuigelingensterfte",NA,NA,NA
"Nederland","Vrouwen","Totaal","Totaal","Totaal","geen hbo of wo","c00_infant_mortality",0.68512586796225,71.2551587004421,465170,"parents_edu","Zuigelingensterfte",NA,NA,NA
